==============================================================================
==============================================================================
 Apr. 19 2014                  LANDSAT 5                       Time: 12:12
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404185054_00002                          Path / Row - 224 / 63
Reference Image: L51CUB1088227120102_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 98.5%
Rank   2 --  1.5%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2240631071   -3.76686    -50.54223     0.23      0.33     0.40     1 
2240631072   -3.76684    -50.51467     0.22      0.21     0.31     1 
2240631073   -3.76682    -50.48711    -0.11      0.13     0.17     1 
2240631074   -3.76681    -50.45955    -0.09      0.06     0.11     1 
2240631075   -3.76679    -50.43200    -0.21     -0.16     0.27     1 
2240631077   -3.76675    -50.37688    -0.01     -0.08     0.08     1 
2240631078   -3.76673    -50.34933    -0.16     -0.18     0.24     1 
2240631079   -3.76671    -50.32177    -0.20     -0.22     0.30     1 
2240631080   -3.76669    -50.29421    -0.11     -0.16     0.20     1 
2240631081   -3.76667    -50.26666    -0.19     -0.19     0.27     1 
2240631082   -3.76664    -50.23910    -0.19     -0.23     0.30     1 
2240631084   -3.76659    -50.18399    -0.10     -0.06     0.11     1 
2240631085   -3.76657    -50.15643    -0.14     -0.11     0.18     1 
2240631086   -3.76654    -50.12888    -0.27     -0.02     0.27     1 
2240631087   -3.76651    -50.10132    -0.16     -0.16     0.23     1 
2240631088   -3.76648    -50.07377    -0.18     -0.19     0.26     1 
2240631089   -3.76645    -50.04621    -0.35     -0.28     0.45     1 
2240631090   -3.76642    -50.01866    -0.18     -0.18     0.25     1 
2240631091   -3.76639    -49.99110    -0.21     -0.18     0.28     1 
2240631092   -3.76636    -49.96355    -0.44     -0.30     0.53     2 
2240631093   -3.76632    -49.93599    -0.13     -0.24     0.28     1 
2240631094   -3.76629    -49.90844    -0.14     -0.17     0.22     1 
2240631095   -3.76625    -49.88089    -0.06     -0.06     0.09     1 
2240631096   -3.76622    -49.85333    -0.03     -0.11     0.12     1 
2240631097   -3.76618    -49.82578     0.04     -0.06     0.07     1 
2240631098   -3.76614    -49.79823    -0.10      0.05     0.11     1 
2240631099   -3.76611    -49.77068    -0.05     -0.03     0.06     1 
2240631101   -3.76602    -49.71557    -0.07     -0.09     0.11     1 
2240631107   -3.76577    -49.55027     0.03      0.18     0.18     1 
2240631108   -3.76572    -49.52272    -0.06      0.05     0.07     1 
2240631109   -3.76567    -49.49517    -0.41     -0.05     0.42     1 
2240631113   -3.76547    -49.38498    -0.06     -0.12     0.14     1 
2240631119   -3.76515    -49.21970    -0.15      0.31     0.35     1 
2240631141   -3.79189    -50.68001     0.15     -0.05     0.16     1 
2240631143   -3.79186    -50.62489     0.04     -0.08     0.09     1 
2240631145   -3.79184    -50.56977    -0.20     -0.23     0.31     1 
2240631149   -3.79178    -50.45954    -0.01      0.35     0.35     1 
2240631150   -3.79176    -50.43198    -0.13     -0.02     0.13     1 
2240631153   -3.79170    -50.34931    -0.11     -0.08     0.14     1 
2240631154   -3.79168    -50.32175    -0.02      0.03     0.04     1 
2240631159   -3.79156    -50.18396    -0.11     -0.06     0.13     1 
2240631160   -3.79153    -50.15641    -0.25      0.07     0.26     1 
2240631161   -3.79150    -50.12885    -0.21     -0.26     0.33     1 
2240631162   -3.79148    -50.10130    -0.09     -0.10     0.14     1 
2240631163   -3.79145    -50.07374    -0.12     -0.17     0.21     1 
2240631164   -3.79142    -50.04618    -0.11     -0.13     0.17     1 
2240631165   -3.79139    -50.01863    -0.01     -0.01     0.01     1 
2240631166   -3.79136    -49.99107     0.03     -0.09     0.09     1 
2240631167   -3.79132    -49.96352     0.14     -0.12     0.18     1 
2240631168   -3.79129    -49.93596    -0.02     -0.23     0.23     1 
2240631169   -3.79125    -49.90841     0.04      0.01     0.04     1 
2240631170   -3.79122    -49.88085    -0.23      0.13     0.27     1 
2240631171   -3.79118    -49.85330     0.05     -0.04     0.07     1 
2240631172   -3.79115    -49.82575     0.03      0.10     0.11     1 
2240631173   -3.79111    -49.79819     0.03      0.03     0.04     1 
2240631174   -3.79107    -49.77064    -0.00     -0.01     0.01     1 
2240631175   -3.79103    -49.74309     0.08     -0.16     0.18     1 
2240631176   -3.79099    -49.71554     0.13     -0.36     0.38     1 
2240631177   -3.79095    -49.68798    -0.21      0.04     0.21     1 
